,Name,Team,Number,Position,Age,Height,Weight,College,Salary
70,Norman Powell,Toronto Raptors,24,SG,23,159,215,UCLA,650000.0
71,Terrence Ross,Toronto Raptors,31,SF,25,167,195,Washington,3553917.0
72,Luis Scola,Toronto Raptors,4,PF,36,150,240,,2900000.0
73,Jason Thompson,Toronto Raptors,1,PF,29,152,250,Rider,245177.0
74,Jonas Valanciunas,Toronto Raptors,17,C,24,174,255,,4660482.0
75,Delon Wright,Toronto Raptors,55,PG,24,163,190,Utah,1509360.0
76,Leandro Barbosa,Golden State Warriors,19,SG,33,178,194,,2500000.0
77,Harrison Barnes,Golden State Warriors,40,SF,24,178,225,North Carolina,3873398.0
78,Andrew Bogut,Golden State Warriors,12,C,31,180,260,Utah,13800000.0
79,Ian Clark,Golden State Warriors,21,SG,25,154,175,Belmont,947276.0
80,Stephen Curry,Golden State Warriors,30,PG,28,168,190,Davidson,11370786.0
81,Festus Ezeli,Golden State Warriors,31,C,26,177,265,Vanderbilt,2008748.0
82,Draymond Green,Golden State Warriors,23,PF,26,162,230,Michigan State,14260870.0
83,Andre Iguodala,Golden State Warriors,9,SF,32,174,215,Arizona,11710456.0
84,Shaun Livingston,Golden State Warriors,34,PG,30,169,192,,5543725.0
85,Kevon Looney,Golden State Warriors,36,SF,20,155,220,UCLA,1131960.0
86,James Michael McAdoo,Golden State Warriors,20,SF,23,168,240,North Carolina,845059.0
87,Brandon Rush,Golden State Warriors,4,SF,30,169,220,Kansas,1270964.0
88,Marreese Speights,Golden State Warriors,5,C,28,179,255,Florida,3815000.0
89,Klay Thompson,Golden State Warriors,11,SG,26,153,215,Washington State,15501000.0
90,Anderson Varejao,Golden State Warriors,18,PF,33,154,273,,289755.0
91,Cole Aldrich,Los Angeles Clippers,45,C,27,178,250,Kansas,1100602.0
92,Jeff Ayres,Los Angeles Clippers,19,PF,29,165,250,Arizona State,111444.0
93,Jamal Crawford,Los Angeles Clippers,11,SG,36,178,195,Michigan,5675000.0
94,Branden Dawson,Los Angeles Clippers,22,SF,23,168,225,Michigan State,525093.0
95,Jeff Green,Los Angeles Clippers,8,SF,29,171,235,Georgetown,9650000.0
96,Blake Griffin,Los Angeles Clippers,32,PF,27,163,251,Oklahoma,18907726.0
97,Wesley Johnson,Los Angeles Clippers,33,SF,28,170,215,Syracuse,1100602.0
98,DeAndre Jordan,Los Angeles Clippers,6,C,27,163,265,Texas A&M,19689000.0
99,Luc Richard Mbah a Moute,Los Angeles Clippers,12,PF,29,178,230,UCLA,947276.0
100,Chris Paul,Los Angeles Clippers,3,PG,31,172,175,Wake Forest,21468695.0
101,Paul Pierce,Los Angeles Clippers,34,SF,38,178,235,Kansas,3376000.0
102,Pablo Prigioni,Los Angeles Clippers,9,PG,39,150,185,,947726.0
103,JJ Redick,Los Angeles Clippers,4,SG,31,161,190,Duke,7085000.0
104,Austin Rivers,Los Angeles Clippers,25,PG,23,168,200,Duke,3110796.0
105,C.J. Wilcox,Los Angeles Clippers,30,SG,25,178,195,Washington,1159680.0
106,Brandon Bass,Los Angeles Lakers,2,PF,31,161,250,LSU,3000000.0
107,Tarik Black,Los Angeles Lakers,28,C,24,166,250,Kansas,845059.0
108,Anthony Brown,Los Angeles Lakers,3,SF,23,153,210,Stanford,700000.0
109,Kobe Bryant,Los Angeles Lakers,24,SF,37,158,212,,25000000.0
110,Jordan Clarkson,Los Angeles Lakers,6,PG,24,176,194,Missouri,845059.0
111,Roy Hibbert,Los Angeles Lakers,17,C,29,169,270,Georgetown,15592217.0
112,Marcelo Huertas,Los Angeles Lakers,9,PG,33,151,200,,525093.0
113,Ryan Kelly,Los Angeles Lakers,4,PF,25,163,230,Duke,1724250.0
114,Larry Nance Jr.,Los Angeles Lakers,7,PF,23,153,230,Wyoming,1155600.0
115,Julius Randle,Los Angeles Lakers,30,PF,21,180,250,Kentucky,3132240.0
116,D'Angelo Russell,Los Angeles Lakers,1,PG,20,175,195,Ohio State,5103120.0
117,Robert Sacre,Los Angeles Lakers,50,C,27,154,270,Gonzaga,981348.0
118,Louis Williams,Los Angeles Lakers,23,SG,29,152,175,,7000000.0
119,Metta World Peace,Los Angeles Lakers,37,SF,36,167,260,St. John's,947276.0
120,Nick Young,Los Angeles Lakers,0,SF,31,166,210,USC,5219169.0
121,Eric Bledsoe,Phoenix Suns,2,PG,26,163,190,Kentucky,13500000.0
122,Devin Booker,Phoenix Suns,1,SG,19,165,206,Kentucky,2127840.0
123,Chase Budinger,Phoenix Suns,10,SF,28,167,209,Arizona,206192.0
124,Tyson Chandler,Phoenix Suns,4,C,33,152,240,,13000000.0
125,Archie Goodwin,Phoenix Suns,20,SG,21,156,200,Kentucky,1160160.0
126,John Jenkins,Phoenix Suns,23,SG,25,168,215,Vanderbilt,981348.0
127,Brandon Knight,Phoenix Suns,3,PG,24,170,189,Kentucky,13500000.0
128,Alex Len,Phoenix Suns,21,C,22,156,260,Maryland,3807120.0
129,Jon Leuer,Phoenix Suns,30,PF,27,159,228,Wisconsin,1035000.0
130,Phil Pressey,Phoenix Suns,25,PG,25,179,175,Missouri,55722.0
131,Ronnie Price,Phoenix Suns,14,PG,32,154,190,Utah Valley,947276.0
132,Mirza Teletovic,Phoenix Suns,35,PF,30,179,242,,5500000.0
133,P.J. Tucker,Phoenix Suns,17,SF,31,164,245,Texas,5500000.0
134,T.J. Warren,Phoenix Suns,12,SF,22,175,230,North Carolina State,2041080.0
135,Alan Williams,Phoenix Suns,15,C,23,175,260,UC Santa Barbara,83397.0
136,Quincy Acy,Sacramento Kings,13,SF,25,179,240,Baylor,981348.0
137,James Anderson,Sacramento Kings,5,SG,27,157,213,Oklahoma State,1015421.0
138,Marco Belinelli,Sacramento Kings,3,SG,30,163,210,,6060606.0
139,Caron Butler,Sacramento Kings,31,SF,36,174,228,Connecticut,1449187.0
140,Omri Casspi,Sacramento Kings,18,SF,27,177,225,,2836186.0
141,Willie Cauley-Stein,Sacramento Kings,0,C,22,164,240,Kentucky,3398280.0
142,Darren Collison,Sacramento Kings,7,PG,28,155,175,UCLA,5013559.0
143,DeMarcus Cousins,Sacramento Kings,15,C,25,157,270,Kentucky,15851950.0
144,Seth Curry,Sacramento Kings,30,SG,25,172,185,Duke,947276.0
145,Duje Dukan,Sacramento Kings,26,PF,24,173,220,Wisconsin,525093.0
146,Rudy Gay,Sacramento Kings,8,SF,29,163,230,Connecticut,12403101.0
147,Kosta Koufos,Sacramento Kings,41,C,27,167,265,Ohio State,7700000.0
148,Ben McLemore,Sacramento Kings,23,SG,23,180,195,Kansas,3156600.0
149,Eric Moreland,Sacramento Kings,25,PF,24,171,238,Oregon State,845059.0
150,Rajon Rondo,Sacramento Kings,9,PG,30,171,186,Kentucky,9500000.0
151,Cameron Bairstow,Chicago Bulls,41,PF,25,160,250,New Mexico,845059.0
152,Aaron Brooks,Chicago Bulls,0,PG,31,162,161,Oregon,2250000.0
153,Jimmy Butler,Chicago Bulls,21,SG,26,167,220,Marquette,16407500.0
154,Mike Dunleavy,Chicago Bulls,34,SG,35,150,230,Duke,4500000.0
155,Cristiano Felicio,Chicago Bulls,6,PF,23,174,275,,525093.0
156,Pau Gasol,Chicago Bulls,16,C,35,175,250,,7448760.0
157,Taj Gibson,Chicago Bulls,22,PF,30,152,225,USC,8500000.0
158,Justin Holiday,Chicago Bulls,7,SG,27,154,185,Washington,947276.0
159,Doug McDermott,Chicago Bulls,3,SF,24,153,225,Creighton,2380440.0
160,Nikola Mirotic,Chicago Bulls,44,PF,25,178,220,,5543725.0
161,E'Twaun Moore,Chicago Bulls,55,SG,27,170,191,Purdue,1015421.0
162,Joakim Noah,Chicago Bulls,13,C,31,176,232,Florida,13400000.0
163,Bobby Portis,Chicago Bulls,5,PF,21,151,230,Arkansas,1391160.0
164,Derrick Rose,Chicago Bulls,1,PG,27,159,190,Memphis,20093064.0
165,Tony Snell,Chicago Bulls,20,SF,24,163,200,New Mexico,1535880.0
166,Matthew Dellavedova,Cleveland Cavaliers,8,PG,25,153,198,Saint Mary's,1147276.0
167,Channing Frye,Cleveland Cavaliers,9,PF,33,163,255,Arizona,8193029.0
168,Kyrie Irving,Cleveland Cavaliers,2,PG,24,180,193,Duke,16407501.0
169,LeBron James,Cleveland Cavaliers,23,SF,31,158,250,,22970500.0
170,Richard Jefferson,Cleveland Cavaliers,24,SF,35,171,233,Arizona,947276.0
171,Dahntay Jones,Cleveland Cavaliers,30,SG,35,151,225,Duke,
172,James Jones,Cleveland Cavaliers,1,SG,35,162,218,Miami (FL),947276.0
173,Sasha Kaun,Cleveland Cavaliers,14,C,31,159,260,Kansas,1276000.0
174,Kevin Love,Cleveland Cavaliers,0,PF,27,153,251,UCLA,19689000.0
175,Jordan McRae,Cleveland Cavaliers,12,SG,25,161,179,Tennessee,111196.0
176,Timofey Mozgov,Cleveland Cavaliers,20,C,29,174,275,,4950000.0
177,Iman Shumpert,Cleveland Cavaliers,4,SG,25,152,220,Georgia Tech,8988765.0
178,J.R. Smith,Cleveland Cavaliers,5,SG,30,173,225,,5000000.0
179,Tristan Thompson,Cleveland Cavaliers,13,C,25,180,238,Texas,14260870.0
180,Mo Williams,Cleveland Cavaliers,52,PG,33,158,198,Alabama,2100000.0
181,Joel Anthony,Detroit Pistons,50,C,33,165,245,UNLV,2500000.0
182,Aron Baynes,Detroit Pistons,12,C,29,174,260,Washington State,6500000.0
183,Steve Blake,Detroit Pistons,22,PG,36,155,172,Maryland,2170465.0
184,Lorenzo Brown,Detroit Pistons,17,PG,25,161,189,North Carolina State,111444.0
185,Reggie Bullock,Detroit Pistons,25,SF,25,154,205,North Carolina,1252440.0
186,Kentavious Caldwell-Pope,Detroit Pistons,5,SG,23,175,205,Georgia,2891760.0
187,Spencer Dinwiddie,Detroit Pistons,8,PG,23,158,200,Colorado,845059.0
188,Andre Drummond,Detroit Pistons,0,C,22,179,279,Connecticut,3272091.0
189,Tobias Harris,Detroit Pistons,34,SF,23,170,235,Tennessee,16000000.0
190,Darrun Hilliard,Detroit Pistons,6,SF,23,171,205,Villanova,600000.0
191,Reggie Jackson,Detroit Pistons,1,PG,26,176,208,Boston College,13913044.0
192,Stanley Johnson,Detroit Pistons,3,SF,20,174,245,Arizona,2841960.0
193,Jodie Meeks,Detroit Pistons,20,SG,28,157,210,Kentucky,6270000.0
194,Marcus Morris,Detroit Pistons,13,PF,26,172,235,Kansas,5000000.0
195,Anthony Tolliver,Detroit Pistons,43,PF,31,171,240,Creighton,3000000.0
196,Lavoy Allen,Indiana Pacers,5,PF,27,165,255,Temple,4050000.0
197,Rakeem Christmas,Indiana Pacers,25,PF,24,150,250,Syracuse,1007026.0
198,Monta Ellis,Indiana Pacers,11,SG,30,156,185,,10300000.0
199,Paul George,Indiana Pacers,13,SF,26,157,220,Fresno State,17120106.0
200,George Hill,Indiana Pacers,3,PG,30,172,188,IUPUI,8000000.0
201,Jordan Hill,Indiana Pacers,27,C,28,177,235,Arizona,4000000.0
202,Solomon Hill,Indiana Pacers,44,SF,25,166,225,Arizona,1358880.0
203,Ty Lawson,Indiana Pacers,10,PG,28,179,195,North Carolina,211744.0
204,Ian Mahinmi,Indiana Pacers,28,C,29,161,250,,4000000.0
205,C.J. Miles,Indiana Pacers,0,SF,29,167,231,,4394225.0
206,Glenn Robinson III,Indiana Pacers,40,SG,22,173,222,Michigan,1100000.0
207,Rodney Stuckey,Indiana Pacers,2,PG,30,177,205,Eastern Washington,7000000.0
208,Myles Turner,Indiana Pacers,33,PF,20,152,243,Texas,2357760.0
209,Shayne Whittington,Indiana Pacers,42,PF,25,159,250,Western Michigan,845059.0
210,Joe Young,Indiana Pacers,1,PG,23,165,180,Oregon,1007026.0
211,Giannis Antetokounmpo,Milwaukee Bucks,34,SF,21,163,222,,1953960.0
212,Jerryd Bayless,Milwaukee Bucks,19,PG,27,164,200,Arizona,3000000.0
213,Michael Carter-Williams,Milwaukee Bucks,5,PG,24,160,190,Syracuse,2399040.0
214,Jared Cunningham,Milwaukee Bucks,9,SG,25,153,195,Oregon State,947276.0
215,Tyler Ennis,Milwaukee Bucks,11,PG,21,173,194,Syracuse,1662360.0
216,John Henson,Milwaukee Bucks,31,PF,25,162,229,North Carolina,2943221.0
217,Damien Inglis,Milwaukee Bucks,17,SF,21,166,246,,855000.0
218,O.J. Mayo,Milwaukee Bucks,3,SG,28,176,210,USC,8000000.0
219,Khris Middleton,Milwaukee Bucks,22,SG,24,161,234,Texas A&M,14700000.0
220,Greg Monroe,Milwaukee Bucks,15,C,26,163,265,Georgetown,16407500.0
221,Steve Novak,Milwaukee Bucks,6,SF,32,168,225,Marquette,295327.0
222,Johnny O'Bryant III,Milwaukee Bucks,77,PF,23,160,257,LSU,845059.0
223,Jabari Parker,Milwaukee Bucks,12,PF,21,157,250,Duke,5152440.0
224,Miles Plumlee,Milwaukee Bucks,18,C,27,154,249,Duke,2109294.0
225,Greivis Vasquez,Milwaukee Bucks,21,PG,29,170,217,Maryland,6600000.0
226,Rashad Vaughn,Milwaukee Bucks,20,SG,19,179,202,UNLV,1733040.0
227,Justin Anderson,Dallas Mavericks,1,SG,22,163,228,Virginia,1449000.0
228,J.J. Barea,Dallas Mavericks,5,PG,31,161,185,Northeastern,4290000.0
229,Jeremy Evans,Dallas Mavericks,21,SF,28,160,200,Western Kentucky,1100602.0
230,Raymond Felton,Dallas Mavericks,2,PG,31,167,205,North Carolina,3950313.0
231,Devin Harris,Dallas Mavericks,34,PG,33,151,185,Wisconsin,4053446.0
232,David Lee,Dallas Mavericks,42,PF,33,170,245,Florida,2085671.0
233,Wesley Matthews,Dallas Mavericks,23,SG,29,158,220,Marquette,16407500.0
234,JaVale McGee,Dallas Mavericks,11,C,28,158,270,Nevada,1270964.0
235,Salah Mejri,Dallas Mavericks,50,C,29,172,245,,525093.0
236,Dirk Nowitzki,Dallas Mavericks,41,PF,37,153,245,,8333334.0
237,Zaza Pachulia,Dallas Mavericks,27,C,32,178,275,,5200000.0
238,Chandler Parsons,Dallas Mavericks,25,SF,27,168,230,Florida,15361500.0
239,Dwight Powell,Dallas Mavericks,7,PF,24,158,240,Stanford,845059.0
240,Charlie Villanueva,Dallas Mavericks,3,PF,31,162,232,Connecticut,947276.0
241,Deron Williams,Dallas Mavericks,8,PG,31,178,200,Illinois,5378974.0
242,Trevor Ariza,Houston Rockets,1,SF,30,154,215,UCLA,8193030.0
243,Michael Beasley,Houston Rockets,8,SF,27,177,235,Kansas State,306527.0
244,Patrick Beverley,Houston Rockets,2,PG,27,150,185,Arkansas,6486486.0
245,Corey Brewer,Houston Rockets,33,SG,30,176,186,Florida,8229375.0
246,Clint Capela,Houston Rockets,15,PF,22,160,240,,1242720.0
247,Sam Dekker,Houston Rockets,7,SF,22,160,230,Wisconsin,1646400.0
248,Andrew Goudelock,Houston Rockets,0,PG,27,158,200,Charleston,200600.0
249,James Harden,Houston Rockets,13,SG,26,157,220,Arizona State,15756438.0
250,Montrezl Harrell,Houston Rockets,35,PF,22,152,240,Louisville,1000000.0
251,Dwight Howard,Houston Rockets,12,C,30,158,265,,22359364.0
252,Terrence Jones,Houston Rockets,6,PF,24,172,252,Kentucky,2489530.0
253,K.J. McDaniels,Houston Rockets,32,SG,23,157,205,Clemson,3189794.0
254,Donatas Motiejunas,Houston Rockets,20,PF,25,167,222,,2288205.0
255,Josh Smith,Houston Rockets,5,C,30,162,225,,947276.0
256,Jason Terry,Houston Rockets,31,SG,38,173,185,Arizona,947276.0
257,Jordan Adams,Memphis Grizzlies,3,SG,21,173,209,UCLA,1404600.0
258,Tony Allen,Memphis Grizzlies,9,SG,34,171,213,Oklahoma State,5158539.0
259,Chris Andersen,Memphis Grizzlies,7,PF,37,163,245,Blinn College,5000000.0
260,Matt Barnes,Memphis Grizzlies,22,SF,36,175,226,UCLA,3542500.0
261,Vince Carter,Memphis Grizzlies,15,SG,39,172,220,North Carolina,4088019.0
262,Mike Conley,Memphis Grizzlies,11,PG,28,159,175,Ohio State,9588426.0
263,Bryce Cotton,Memphis Grizzlies,8,PG,23,159,165,Providence,700902.0
264,Jordan Farmar,Memphis Grizzlies,4,PG,29,180,180,UCLA,
265,Marc Gasol,Memphis Grizzlies,33,C,31,159,255,,19688000.0
266,JaMychal Green,Memphis Grizzlies,0,PF,25,169,227,Alabama,845059.0
267,P.J. Hairston,Memphis Grizzlies,19,SF,23,154,230,North Carolina,1201440.0
268,Jarell Martin,Memphis Grizzlies,10,PF,22,157,239,LSU,1230840.0
269,Ray McCallum,Memphis Grizzlies,5,PG,24,162,190,Detroit,
270,Xavier Munford,Memphis Grizzlies,14,PG,24,171,180,Rhode Island,
271,Zach Randolph,Memphis Grizzlies,50,PF,34,177,260,Michigan State,9638555.0
272,Lance Stephenson,Memphis Grizzlies,1,SF,25,157,230,Cincinnati,9000000.0
273,Alex Stepheson,Memphis Grizzlies,35,PF,28,155,270,USC,
274,Brandan Wright,Memphis Grizzlies,34,PF,28,165,210,North Carolina,5464000.0
275,Alexis Ajinca,New Orleans Pelicans,42,C,28,178,248,,4389607.0
276,Ryan Anderson,New Orleans Pelicans,33,PF,28,152,240,California,8500000.0
277,Omer Asik,New Orleans Pelicans,3,C,29,155,255,,9213483.0
278,Luke Babbitt,New Orleans Pelicans,8,SF,26,178,225,Nevada,1100602.0
279,Norris Cole,New Orleans Pelicans,30,PG,27,152,175,Cleveland State,3036927.0
280,Dante Cunningham,New Orleans Pelicans,44,PF,29,164,230,Villanova,2850000.0
281,Anthony Davis,New Orleans Pelicans,23,PF,23,150,253,Kentucky,7070730.0
282,Bryce Dejean-Jones,New Orleans Pelicans,31,SG,23,150,203,Iowa State,169883.0
283,Toney Douglas,New Orleans Pelicans,16,PG,30,180,195,Florida State,1164858.0
284,James Ennis,New Orleans Pelicans,4,SF,25,159,210,Long Beach State,845059.0
285,Tyreke Evans,New Orleans Pelicans,1,SG,26,179,220,Memphis,10734586.0
286,Tim Frazier,New Orleans Pelicans,2,PG,25,177,170,Penn State,845059.0
287,Alonzo Gee,New Orleans Pelicans,15,SF,29,165,225,Alabama,1320000.0
288,Eric Gordon,New Orleans Pelicans,10,SG,27,169,215,Indiana,15514031.0
289,Jordan Hamilton,New Orleans Pelicans,25,SG,25,170,220,Texas,1015421.0
290,Jrue Holiday,New Orleans Pelicans,11,PG,25,153,205,UCLA,10595507.0
291,Orlando Johnson,New Orleans Pelicans,0,SG,27,155,220,UC Santa Barbara,55722.0
292,Kendrick Perkins,New Orleans Pelicans,5,C,31,177,270,,947276.0
293,Quincy Pondexter,New Orleans Pelicans,20,SF,28,152,220,Washington,3382023.0
294,LaMarcus Aldridge,San Antonio Spurs,12,PF,30,174,240,Texas,19689000.0
295,Kyle Anderson,San Antonio Spurs,1,SF,22,170,230,UCLA,1142880.0
296,Matt Bonner,San Antonio Spurs,15,C,36,178,235,Florida,947276.0
297,Boris Diaw,San Antonio Spurs,33,C,34,153,250,,7500000.0
298,Tim Duncan,San Antonio Spurs,21,C,40,166,250,Wake Forest,5250000.0
299,Manu Ginobili,San Antonio Spurs,20,SG,38,166,205,,2814000.0
300,Danny Green,San Antonio Spurs,14,SG,28,175,215,North Carolina,10000000.0
301,Kawhi Leonard,San Antonio Spurs,2,SF,24,159,230,San Diego State,16407500.0
302,Boban Marjanovic,San Antonio Spurs,40,C,27,162,290,,1200000.0
303,Kevin Martin,San Antonio Spurs,23,SG,33,158,199,Western Carolina,200600.0
304,Andre Miller,San Antonio Spurs,24,PG,40,175,200,Utah,250750.0
305,Patty Mills,San Antonio Spurs,8,PG,27,179,185,Saint Mary's,3578947.0
306,Tony Parker,San Antonio Spurs,9,PG,34,171,185,,13437500.0
307,Jonathon Simmons,San Antonio Spurs,17,SG,26,160,195,Houston,525093.0
308,David West,San Antonio Spurs,30,PF,35,175,250,Xavier,1499187.0
309,Kent Bazemore,Atlanta Hawks,24,SF,26,173,201,Old Dominion,2000000.0
310,Tim Hardaway Jr.,Atlanta Hawks,10,SG,24,173,205,Michigan,1304520.0
311,Kirk Hinrich,Atlanta Hawks,12,SG,35,166,190,Kansas,2854940.0
312,Al Horford,Atlanta Hawks,15,C,30,171,245,Florida,12000000.0
313,Kris Humphries,Atlanta Hawks,43,PF,31,169,235,Minnesota,1000000.0
314,Kyle Korver,Atlanta Hawks,26,SG,35,164,212,Creighton,5746479.0
315,Paul Millsap,Atlanta Hawks,4,PF,31,157,246,Louisiana Tech,18671659.0
316,Mike Muscala,Atlanta Hawks,31,PF,24,152,240,Bucknell,947276.0
317,Lamar Patterson,Atlanta Hawks,13,SG,24,151,225,Pittsburgh,525093.0
318,Dennis Schroder,Atlanta Hawks,17,PG,22,156,172,,1763400.0
319,Mike Scott,Atlanta Hawks,32,PF,27,156,237,Virginia,3333333.0
320,Thabo Sefolosha,Atlanta Hawks,25,SF,32,154,220,,4000000.0
321,Tiago Splitter,Atlanta Hawks,11,C,31,163,245,,9756250.0
322,Walter Tavares,Atlanta Hawks,22,C,24,165,260,,1000000.0
323,Jeff Teague,Atlanta Hawks,0,PG,27,155,186,Wake Forest,8000000.0
324,Nicolas Batum,Charlotte Hornets,5,SG,27,174,200,,13125306.0
325,Troy Daniels,Charlotte Hornets,30,SG,24,152,205,Virginia Commonwealth,947276.0
326,Jorge Gutierrez,Charlotte Hornets,12,PG,27,173,189,California,189455.0
327,Tyler Hansbrough,Charlotte Hornets,50,PF,30,166,250,North Carolina,947276.0
328,Aaron Harrison,Charlotte Hornets,9,SG,21,156,210,Kentucky,525093.0
329,Spencer Hawes,Charlotte Hornets,0,PF,28,155,245,Washington,6110034.0
330,Al Jefferson,Charlotte Hornets,25,C,31,169,289,,13500000.0
331,Frank Kaminsky III,Charlotte Hornets,44,C,23,158,240,Wisconsin,2612520.0
332,Michael Kidd-Gilchrist,Charlotte Hornets,14,SF,22,152,232,Kentucky,6331404.0
333,Jeremy Lamb,Charlotte Hornets,3,SG,24,173,185,Connecticut,3034356.0
